rnd-1_family-208	LTR	Pao
rnd-1_family-225	LTR	Gypsy
rnd-1_family-28	DNA	CMC-Transib
rnd-1_family-166	LTR	Gypsy
rnd-1_family-149	Unknown	
rnd-1_family-83	LTR	Gypsy
rnd-1_family-175	LTR	Gypsy
rnd-1_family-150	Unknown	
rnd-1_family-214	LTR	Gypsy
rnd-1_family-1	Unknown	
rnd-1_family-162	Unknown	
rnd-1_family-25	Unknown	
rnd-1_family-133	Unknown	
rnd-1_family-15	RC	Helitron
rnd-1_family-209	Unknown	
rnd-1_family-181	LTR	Gypsy
rnd-1_family-188	LINE	I-Jockey
rnd-1_family-113	RC	Helitron
rnd-1_family-114	LINE	I-Jockey
rnd-1_family-196	Unknown	
rnd-1_family-255	Unknown	
rnd-1_family-127	LTR	Gypsy
rnd-1_family-73	LTR	Gypsy
rnd-1_family-23	LTR	Gypsy
rnd-1_family-117	LTR	Gypsy
rnd-1_family-161	LINE	I-Jockey
rnd-1_family-142	LINE	CR1
rnd-1_family-125	Unknown	
rnd-1_family-99	DNA	PIF-Harbinger
rnd-1_family-264	LTR	Pao
rnd-1_family-59	LINE	I-Jockey
rnd-1_family-120	LTR	Gypsy
rnd-1_family-152	LINE	I-Jockey
rnd-1_family-111	Unknown	
rnd-1_family-190	LTR	Gypsy
rnd-1_family-216	Unknown	
rnd-1_family-86	LTR	Gypsy
rnd-1_family-266	LTR	Gypsy
rnd-1_family-197	LINE	I-Jockey
rnd-1_family-139	RC	Helitron
rnd-1_family-275	LTR	Gypsy
rnd-1_family-103	Unknown	
rnd-1_family-105	LTR	Gypsy
rnd-1_family-95	LTR	Gypsy
rnd-1_family-238	LTR	Gypsy
rnd-1_family-27	RC	Helitron
rnd-1_family-140	LTR	Gypsy
rnd-1_family-201	LTR	Gypsy
rnd-1_family-64	DNA	TcMar-Mariner
rnd-1_family-26	Unknown	
rnd-1_family-35	LINE	CR1
rnd-1_family-53	LTR	Gypsy
rnd-1_family-8	RC	Helitron
rnd-1_family-4	RC	Helitron
rnd-1_family-33	Unknown	
rnd-1_family-174	Unknown	
rnd-1_family-204	LTR	Pao
rnd-1_family-30	RC	Helitron
rnd-1_family-37	LINE	CR1
rnd-1_family-128	LTR	Gypsy
rnd-1_family-39	LINE	CR1
rnd-1_family-248	LTR	Gypsy
rnd-1_family-104	LTR	Gypsy
rnd-1_family-240	LTR	Pao
rnd-1_family-89	LTR	Gypsy
rnd-1_family-155	LTR	Pao
rnd-1_family-137	LTR	Gypsy
rnd-1_family-43	LINE	CR1
rnd-1_family-224	LTR	Pao
rnd-1_family-22	RC	Helitron
rnd-1_family-58	Unknown	
rnd-1_family-74	LTR	Gypsy
rnd-1_family-85	LTR	Gypsy
rnd-1_family-173	Unknown	
rnd-1_family-164	LINE	I-Jockey
rnd-1_family-147	LTR	Pao
rnd-1_family-253	LTR	Gypsy
rnd-1_family-54	LINE	I-Jockey
rnd-1_family-217	LTR	Pao
rnd-1_family-100	RC	Helitron
rnd-1_family-187	LTR	Gypsy
rnd-1_family-88	Unknown	
rnd-1_family-159	LTR	Pao
rnd-1_family-47	LTR	Gypsy
rnd-1_family-81	LINE	I-Jockey
rnd-1_family-126	LTR	Gypsy
rnd-1_family-11	RC	Helitron
rnd-1_family-48	LINE	I-Jockey
rnd-1_family-29	Unknown	
rnd-1_family-12	RC	Helitron
rnd-1_family-191	LINE	CR1
rnd-1_family-34	Unknown	
