"seqnames","seqlengths","nonrepeat","DNA","DNA-LINE","DNA-LINE-RC","DNA-LINE-RC-tandem_repeat","DNA-LINE-tandem_repeat","DNA-LINE-Unknown","DNA-LTR","DNA-LTR-RC","DNA-LTR-RC-tandem_repeat-Unknown","DNA-LTR-RC-Unknown","DNA-LTR-tandem_repeat","DNA-LTR-Unknown","DNA-RC","DNA-RC-snRNA-Unknown","DNA-RC-tandem_repeat","DNA-RC-Unknown","DNA-snRNA","DNA-snRNA-Unknown","DNA-tandem_repeat","DNA-tandem_repeat-Unknown","DNA-Unknown","LINE","LINE-LTR","LINE-LTR-RC","LINE-LTR-RC-tandem_repeat","LINE-LTR-RC-tandem_repeat-Unknown","LINE-LTR-RC-Unknown","LINE-LTR-tandem_repeat","LINE-LTR-tandem_repeat-Unknown","LINE-LTR-Unknown","LINE-RC","LINE-RC-tandem_repeat","LINE-RC-tandem_repeat-Unknown","LINE-RC-Unknown","LINE-snRNA","LINE-tandem_repeat","LINE-tandem_repeat-Unknown","LINE-Unknown","LTR","LTR-RC","LTR-RC-snRNA-Unknown","LTR-RC-tandem_repeat","LTR-RC-tandem_repeat-Unknown","LTR-RC-Unknown","LTR-Satellite-tandem_repeat","LTR-Satellite-tandem_repeat-Unknown","LTR-Simple","LTR-Simple-tandem_repeat","LTR-snRNA","LTR-snRNA-Unknown","LTR-tandem_repeat","LTR-tandem_repeat-Unknown","LTR-Unknown","RC","RC-snRNA","RC-snRNA-Unknown","RC-tandem_repeat","RC-tandem_repeat-Unknown","RC-Unknown","Satellite","Satellite-tandem_repeat","Satellite-tandem_repeat-Unknown","Simple","Simple-tandem_repeat","Simple-tandem_repeat-Unknown","Simple-Unknown","snRNA","snRNA-tandem_repeat","snRNA-Unknown","tandem_repeat","tandem_repeat-tRNA","tandem_repeat-Unknown","tRNA","Unknown"
"contig_160 NW_025335040.1",592172,75.7553548631141,0.506778435994947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0300588342576143,3.54761792182001,0.0153671568395669,NA,NA,NA,NA,NA,NA,NA,0.00185756840917841,NA,NA,NA,NA,0.0185756840917841,NA,0.00135095884303885,8.85773052423958,0.0253304783069784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.149449822011172,0.00472835595063596,0.461352444897766,0.56183000884878,NA,NA,0.0243172591746992,NA,0.158737664057065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.19274805293057,NA,0.6555527785846,NA,4.03126118762792
"contig_182 NW_025335064.1",412689,83.4643036281558,0.548839440838016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.70157673211547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0109040948510864,NA,0.0327122845532592,3.47137917414809,0.0365892960558677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023504382234564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.70119872349396,NA,0.142237859501949,NA,0.866754384051913
"contig_173 NW_025335054.1",504562,61.9156813236034,0.909501706430528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0325034386259766,NA,0.058664742885909,10.0853809839029,0.0122878853342107,NA,NA,NA,NA,NA,NA,NA,0.00277468378514434,NA,NA,NA,NA,0.0733309286073862,NA,0.217614485434892,11.6667525497362,0.167670177302294,NA,NA,0.000198191698938882,0.0021801086883277,NA,NA,NA,NA,NA,NA,0.46257942532335,0.0428094069707984,0.607457557247672,2.9885326282994,NA,NA,0.188876689088754,0.52818087767212,0.740245995536723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.11037295713906,NA,0.509352666272926,NA,3.67705059041307
"contig_218 NW_025335104.1",3166382,77.5498344798575,1.61509255674142,NA,NA,NA,NA,NA,0.0111799523872988,NA,NA,NA,NA,NA,0.00451619545588625,NA,NA,0.00192648897069273,NA,NA,0.0314870410455845,NA,0.041308976617477,3.79549909012873,9.47453592143967e-05,0.000221072504833592,NA,NA,NA,NA,NA,NA,0.0139275678045163,0.000347399650452788,0.00451619545588625,0.00265287005800311,NA,0.0232126130075272,NA,0.0791123749440213,7.04655976442514,0.029371061356463,NA,NA,NA,0.0059057940576974,NA,NA,NA,0.0111799523872988,0.000157908932023995,9.47453592143967e-05,0.158098422742423,0.0105798984456076,0.212008532135415,0.67370266758717,NA,NA,0.141075839870237,0.018696417551641,0.109146653814985,NA,NA,NA,0.00315817864047989,0.00101061716495357,NA,NA,0.00331608757250389,NA,0.00322134221328949,5.40149609238557,NA,0.316860062999347,NA,2.67943034036954
"contig_80 NW_025335179.1",1627756,65.2341628597898,0.868373392572351,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000122868538036413,NA,NA,NA,NA,NA,NA,NA,0.0286283693624843,NA,NA,2.91782060701973,0.0109352998852408,NA,NA,NA,NA,NA,NA,0.000307171345091033,NA,NA,NA,0.0248808789523737,NA,0.00626629543985708,NA,0.0595298066786423,6.330125645367,0.0134541049149873,NA,NA,NA,0.0367376928728876,NA,NA,NA,NA,NA,NA,0.39360936159965,0.0655503650424265,0.325847362872568,0.292058514912554,NA,NA,0.0120411167275685,0.00792502070334866,0.26582608204178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3335757939151,NA,1.10354377437405,NA,1.66867761507253
"contig_155 NW_025335034.1",15822701,85.1603085971226,0.654824988476999,0.000417122209412919,NA,NA,NA,6.32003347595332e-05,0.0114266205245236,6.32003347595332e-06,NA,NA,0.00705947739263985,NA,0.000979605188772764,NA,NA,1.26400669519066e-05,NA,NA,0.0297483975713123,2.52801339038133e-05,0.0284907109095975,1.8692257409149,0.00977709178729978,0.000107440569091206,NA,NA,0.000297041573369806,5.68803012835798e-05,NA,0.00266073409337635,0.00931572934355519,0.00723011829649059,0.00336857784268312,0.00099224525572467,NA,0.0311767251368777,0.0188463398252928,0.0935680956114888,3.64376474029308,0.00904396790408919,NA,0.00208561104706459,0.00201609067882911,0.00306521623583736,NA,NA,NA,NA,2.52801339038133e-05,NA,0.151130960510472,0.0249198919956839,0.127664676214257,0.979725269408807,0.00129560686257043,0.00282505496375113,0.112142673997316,0.0879495858513663,0.113792202734539,NA,NA,NA,0.00253433342385728,0.00185808984193027,NA,0.00132088699647424,0.0259374173853124,0.000195921037754553,0.0021930516161558,4.87959040621446,NA,0.306679624420635,0.000530882811980079,1.57772683690351
"contig_4 NW_025335134.1",2527349,77.4503639980074,0.885077605031992,NA,NA,NA,NA,NA,0.00708252006351319,NA,NA,NA,NA,7.91343023856222e-05,0.0139672043710623,NA,0.00205749186202618,0.000989178779820278,NA,NA,0.0472036113730237,NA,0.0042732523288236,4.25437879770463,0.00443152093359485,0.000395671511928111,NA,NA,NA,NA,NA,NA,0.0499733119565204,0.00324450639781051,0.0064098784932354,0.00233446192037586,NA,0.0235820221109154,0.000395671511928111,0.039804554099968,8.13797382158143,0.00637031134204259,NA,NA,0.000751775872663411,0.000989178779820278,NA,NA,NA,NA,NA,NA,0.284448249925119,0.0354521674687588,0.386175395641837,0.52810276697045,0.00609334128369291,0.00478762529433015,0.200170217884431,0.0597463983011448,0.0641779192347396,NA,NA,NA,NA,NA,NA,NA,0.0064098784932354,NA,0.0118305782066505,4.98918036250633,NA,0.389222066283683,NA,2.0920735521687
"contig_162 NW_025335042.1",785458,84.2825459795431,0.721744510845901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000509257019471442,NA,NA,NA,0.00534719870445014,1.17523788668522,0.000763885529207163,NA,NA,NA,NA,NA,NA,NA,0.0176966814266326,NA,NA,NA,NA,0.0295369071293436,NA,0.0137499395257289,5.11663258888445,0.02737256479659,NA,0.00165508531328219,NA,NA,NA,NA,NA,NA,NA,NA,0.199246808868202,0.0120948542124467,0.286457073452686,0.309119010819165,NA,NA,0.0753700388817734,NA,0.000763885529207163,NA,NA,NA,NA,NA,NA,NA,0.0136226252708611,NA,NA,5.73563449605198,NA,0.622694020558706,NA,1.35220470095155
"contig_190 NW_025335073.1",4829052,75.4774228979104,0.352491544924345,2.07079981743829e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00323044771520373,NA,0.00294053574076237,NA,NA,NA,0.00395522765130713,NA,0.0185750743624214,5.45073857146289,0.317391488018766,NA,NA,NA,NA,0.00281628775171607,NA,0.0360319168234262,0.00043486796166204,NA,NA,NA,NA,0.0497199036166933,0.000683363939754635,0.116151161760114,9.5651486047365,0.00884231522046149,NA,2.07079981743829e-05,NA,0.000911151919672847,NA,NA,NA,NA,NA,NA,0.227539483940119,0.0182023303952826,0.279910011323133,0.877211510665033,NA,0.00457646759653862,0.0455575959836423,0.030502881310866,0.155848394260406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35427077612749,NA,0.325861059272089,NA,2.27299271161296
"contig_207 NW_025335092.1",169154,53.3094103597905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.87179729713752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.161982572094068,11.8714307672299,0.0839471723991156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.497180084420114,0.0727148042612058,0.302682762453149,0.179717890206557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5016612081299,NA,0.0573441952303818,NA,1.09013088664767
