"seqnames","seqlengths","nonrepeat","DNA","DNA-RC","DNA-RC-tandem_repeat","DNA-RC-tandem_repeat-Unknown","DNA-RC-Unknown","DNA-tandem_repeat","DNA-Unknown","LINE","RC","RC-tandem_repeat","RC-tandem_repeat-Unknown","RC-Unknown","tandem_repeat","tandem_repeat-Unknown","Unknown"
"Scaffold_260",201838,80.5953289271594,0.0143679584617366,0.306681596131551,NA,NA,0.00198178737403264,NA,NA,1.33176111534993,3.63360715028885,0.56827752950386,0.0971075813275994,1.16132740118313,2.41431246841526,0.907658617306949,8.9675878674977
"Scaffold_400",143129,88.4188389494791,0.00209601129051415,0.58548582048362,NA,NA,0.0188641016146274,NA,NA,0.231259912386728,3.53597104709737,0.394748793046832,0.0747577360283381,1.63628614746138,1.53917095766756,0.26759077475564,3.29492974868825
"Scaffold_281",81405,97.1930471101284,NA,NA,NA,NA,NA,NA,NA,NA,0.31324857195504,0.087218229838462,0.0196548123579633,0.00245685154474541,2.08218168417173,NA,0.302192740003685
"Scaffold_195",104028,77.0273387934018,0.0211481524205022,0.41335025185527,NA,NA,0.0836313300265313,NA,NA,0.321067404929442,3.21644172722729,0.341254277694467,0.0922828469258277,0.882454723728227,2.87038105125543,2.16287922482409,12.5677702157112
"Scaffold_196",149993,94.4697419212897,0.00133339555845939,0.164674351469735,NA,NA,NA,NA,NA,0.336015680731768,1.50940377217603,0.57202669457908,0.0906708979752388,0.284679951731081,1.27472615388718,0.251345062769596,1.04538211783217
"Scaffold_377",70017,94.9883599697216,NA,0.0842652498678892,NA,NA,NA,NA,NA,NA,1.10830226944885,0.172815173457875,0.0614136566833769,0.248511075881572,2.79503549138066,0.12711198708885,0.414185126469286
"Scaffold_7",57684,80.5994729907773,0.0485403231398655,1.0713542750156,0.187226960682338,0.0364052423548991,0.00346716593856182,NA,NA,NA,6.04153664794397,2.80320366132723,0.398724082934609,3.48103460231607,1.68157548020248,0.379654670272519,3.26780389709451
"Scaffold_294",137757,83.2393272211213,0.0508141147092344,0.723012260719963,NA,NA,0.0348439643720464,NA,0.0116146547906821,0.839884724551202,4.79757834447614,0.626465442772418,0.081302583534775,1.70517650645702,3.25282925731542,0.293995949389142,4.3431549757907
"Scaffold_146",55735,94.3859334350049,NA,0.11303489728178,NA,NA,NA,NA,NA,NA,1.20211716156813,0.220687180407284,0.0412667085314434,0.118417511438055,2.65183457432493,0.132771149188122,1.13393738225532
"Scaffold_81",136055,58.4006467972511,0.68207710117232,1.4589687993826,1.87865201572893,1.55378339642057,1.06354047995296,0.327808606813421,NA,0.969460879791261,13.0329646099004,1.47954871191797,0.0146999375252655,6.4525375767153,3.9888280474808,1.03781558928375,7.65866745066334
"Scaffold_211",29747,94.9776448045181,NA,NA,NA,NA,NA,NA,NA,NA,0.457188960231284,NA,NA,0.0672336706222476,1.49931085487612,2.16492419403637,0.83369751571587
"Scaffold_325",541551,95.4944225012972,0.00978670522259215,0.0986056714880039,NA,NA,NA,NA,NA,NA,0.65441666620503,0.114670640438297,0.00609360891218002,0.197026688160487,2.46754229980187,0.667157848475951,0.290277369998393
"Scaffold_111",38937,94.7171071217608,NA,NA,NA,NA,NA,NA,NA,NA,0.323599660990831,0.110434804941315,0.0410920204432802,NA,4.01417674705293,0.156663327940006,0.636926316870843
"Scaffold_188",75456,97.6608884648007,NA,0.0808418150975403,NA,NA,NA,NA,NA,NA,0.490351993214589,0.0636132315521628,NA,0.0834923664122137,1.08805131467345,NA,0.532760814249364
"Scaffold_232",30301,97.6601432295964,0.00330022111481469,0.207913930233326,NA,NA,NA,NA,NA,NA,1.1913798224481,0.165011055740735,NA,0.21121415134814,0.320121448137025,NA,0.240916141381473
"Scaffold_115",41724,99.0724762726488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.273224043715847,NA,0.654299683635318
"Scaffold_389",100210,97.9373316036324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65452549645744,NA,0.408142899910189
"Scaffold_288",57906,88.8457154698995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.21351846095396,4.91486201775291,0.025904051393638
"Scaffold_18",53927,94.4869916739296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.49175737571161,1.87104789808445,0.150203052274371
"Scaffold_184",94882,98.8501507135178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.855799835585253,NA,0.294049450896904
"Scaffold_257",111092,88.1926691390919,NA,NA,NA,NA,NA,NA,NA,NA,0.14942570122061,NA,NA,NA,7.56760162747993,4.09030353220754,NA
"Scaffold_241",30542,99.6038242420274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16370899089778,NA,0.232466767074848
"Scaffold_104",35951,98.4784846040444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12375177324692,NA,0.397763622708687
"Scaffold_25",77861,97.057576964077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.94242303592299,NA,NA
"Scaffold_92",58255,98.8344348124624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16556518753755,NA,NA
"Scaffold_148",43523,99.6254853755486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.374514624451439,NA,NA
"Scaffold_284",20819,99.7838512896873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.216148710312695,NA,NA
